trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign,pickup_type,drop_off_type,shape_dist_traveled,continuous_pickup,continuous_drop_off
018A_18501,19:43:00,19:43:00,17,4,PM,,,,,
018A_18501,18:48:00,18:48:00,18,3,PM,,,,,
018A_18501,18:37:00,18:37:00,20,2,PM,,,,,
018A_18501,18:30:00,18:30:00,21,1,PM,,,,,
018A_18501,20:40:00,20:40:00,25,15,PM,,,,,
018A_18501,20:45:00,20:45:00,26,16,PM,,,,,
018A_18501,20:49:00,20:49:00,27,17,PM,,,,,
018A_18501,20:23:00,20:23:00,31,12,PM,,,,,
018A_18501,20:27:00,20:27:00,32,13,PM,,,,,
018A_18501,20:29:00,20:29:00,33,14,PM,,,,,
018A_18501,20:14:00,20:14:00,37,9,PM,,,,,
018A_18501,20:17:00,20:17:00,38,10,PM,,,,,
018A_18501,20:20:00,20:20:00,39,11,PM,,,,,
018A_18501,20:11:00,20:11:00,42,8,PM,,,,,
018A_18501,20:08:00,20:08:00,95,7,PM,,,,,
018A_18501,19:57:00,19:57:00,98,5,PM,,,,,
018A_18501,20:01:00,20:01:00,99,6,PM,,,,,
018A_18502,21:13:00,21:13:00,17,4,PM,,,,,
018A_18502,20:18:00,20:18:00,18,3,PM,,,,,
018A_18502,20:07:00,20:07:00,20,2,PM,,,,,
018A_18502,20:00:00,20:00:00,21,1,PM,,,,,
018A_18502,22:01:00,22:01:00,31,14,PM,,,,,
018A_18502,22:05:00,22:05:00,32,15,PM,,,,,
018A_18502,22:07:00,22:07:00,33,16,PM,,,,,
018A_18502,21:52:00,21:52:00,37,11,PM,,,,,
018A_18502,21:55:00,21:55:00,38,12,PM,,,,,
018A_18502,21:58:00,21:58:00,39,13,PM,,,,,
018A_18502,21:49:00,21:49:00,42,10,PM,,,,,
018A_18502,21:46:00,21:46:00,95,9,PM,,,,,
018A_18502,21:35:00,21:35:00,98,7,PM,,,,,
018A_18502,21:39:00,21:39:00,99,8,PM,,,,,
018A_18502,21:30:00,21:30:00,100,6,PM,,,,,
018A_18502,21:25:00,21:25:00,101,5,PM,,,,,
018A_18503,23:28:00,23:28:00,17,4,PM,,,,,
018A_18503,22:33:00,22:33:00,18,3,PM,,,,,
018A_18503,22:22:00,22:22:00,20,2,PM,,,,,
018A_18503,22:15:00,22:15:00,21,1,PM,,,,,
018A_18503,23:40:00,23:40:00,100,5,PM,,,,,
018A_18701,19:43:00,19:43:00,17,4,PM,,,,,
018A_18701,18:48:00,18:48:00,18,3,PM,,,,,
018A_18701,18:37:00,18:37:00,20,2,PM,,,,,
018A_18701,18:30:00,18:30:00,21,1,PM,,,,,
018A_18701,20:40:00,20:40:00,25,16,PM,,,,,
018A_18701,20:45:00,20:45:00,26,18,PM,,,,,
018A_18701,20:49:00,20:49:00,27,19,PM,,,,,
018A_18701,20:23:00,20:23:00,31,13,PM,,,,,
018A_18701,20:27:00,20:27:00,32,14,PM,,,,,
018A_18701,20:29:00,20:29:00,33,15,PM,,,,,
018A_18701,20:14:00,20:14:00,37,10,PM,,,,,
018A_18701,20:17:00,20:17:00,38,11,PM,,,,,
018A_18701,20:20:00,20:20:00,39,12,PM,,,,,
018A_18701,20:11:00,20:11:00,42,8,PM,,,,,
018A_18701,20:08:00,20:08:00,95,7,PM,,,,,
018A_18701,19:57:00,19:57:00,98,5,PM,,,,,
018A_18701,20:01:00,20:01:00,99,6,PM,,,,,
018A_18701,20:41:00,20:41:00,375,17,PM,,,,,
018A_18701,20:12:00,20:12:00,383,9,PM,,,,,
018A_18702,21:13:00,21:13:00,17,4,PM,,,,,
018A_18702,20:18:00,20:18:00,18,3,PM,,,,,
018A_18702,20:07:00,20:07:00,20,2,PM,,,,,
018A_18702,20:00:00,20:00:00,21,1,PM,,,,,
018A_18702,22:01:00,22:01:00,31,15,PM,,,,,
018A_18702,22:05:00,22:05:00,32,16,PM,,,,,
018A_18702,22:07:00,22:07:00,33,17,PM,,,,,
018A_18702,21:52:00,21:52:00,37,12,PM,,,,,
018A_18702,21:55:00,21:55:00,38,13,PM,,,,,
018A_18702,21:58:00,21:58:00,39,14,PM,,,,,
018A_18702,21:49:00,21:49:00,42,10,PM,,,,,
018A_18702,21:46:00,21:46:00,95,9,PM,,,,,
018A_18702,21:35:00,21:35:00,98,7,PM,,,,,
018A_18702,21:39:00,21:39:00,99,8,PM,,,,,
018A_18702,21:30:00,21:30:00,100,6,PM,,,,,
018A_18702,21:25:00,21:25:00,101,5,PM,,,,,
018A_18702,21:51:00,21:51:00,383,11,PM,,,,,
018A_18706,15:45:00,15:45:00,17,4,PM,,,,,
018A_18706,14:48:00,14:48:00,18,3,PM,,,,,
018A_18706,14:37:00,14:37:00,20,2,PM,,,,,
018A_18706,14:30:00,14:30:00,21,1,PM,,,,,
018A_18706,16:00:00,16:00:00,100,6,PM,,,,,
018A_18706,15:55:00,15:55:00,101,5,PM,,,,,
019A_19501,21:12:00,21:12:00,1,9,PM,,,,,
019A_19501,21:13:00,21:13:00,2,10,PM,,,,,
019A_19501,21:15:00,21:15:00,3,11,PM,,,,,
019A_19501,21:20:00,21:20:00,4,12,PM,,,,,
019A_19501,21:05:00,21:05:00,10,8,PM,,,,,
019A_19501,21:02:00,21:02:00,12,7,PM,,,,,
019A_19501,21:00:00,21:00:00,14,6,PM,,,,,
019A_19501,20:58:00,20:58:00,16,5,PM,,,,,
019A_19501,20:45:00,20:45:00,17,4,PM,,,,,
019A_19501,19:48:00,19:48:00,18,3,PM,,,,,
019A_19501,19:37:00,19:37:00,20,2,PM,,,,,
019A_19501,19:30:00,19:30:00,21,1,PM,,,,,
019A_19502,22:45:00,22:45:00,7,5,PM,,,,,
019A_19502,22:48:00,22:48:00,8,6,PM,,,,,
019A_19502,22:30:00,22:30:00,17,4,PM,,,,,
019A_19502,21:33:00,21:33:00,18,3,PM,,,,,
019A_19502,21:22:00,21:22:00,20,2,PM,,,,,
019A_19502,21:15:00,21:15:00,21,1,PM,,,,,
019A_19701,21:12:00,21:12:00,1,9,PM,,,,,
019A_19701,21:13:00,21:13:00,2,10,PM,,,,,
019A_19701,21:15:00,21:15:00,3,11,PM,,,,,
019A_19701,21:20:00,21:20:00,4,12,PM,,,,,
019A_19701,21:22:00,21:22:00,5,13,PM,,,,,
019A_19701,21:05:00,21:05:00,10,8,PM,,,,,
019A_19701,21:02:00,21:02:00,12,7,PM,,,,,
019A_19701,20:45:00,20:45:00,17,4,PM,,,,,
019A_19701,19:48:00,19:48:00,18,3,PM,,,,,
019A_19701,19:37:00,19:37:00,20,2,PM,,,,,
019A_19701,19:30:00,19:30:00,21,1,PM,,,,,
019A_19701,21:00:00,21:00:00,385,6,PM,,,,,
019A_19701,20:57:00,20:57:00,387,5,PM,,,,,
1819_1819501,16:15:00,16:15:00,7,7,PM,,,,,
1819_1819501,16:18:00,16:18:00,8,8,PM,,,,,
