trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,shape_id,wheelchair_accessible,bikes_allowed
018A_18706,018A,018A_18706,CRUCES/GURUTZETA,"",1,S_018A_18706,2,
018A_18501,018A,018A_18501,BILBO/BILBAO,EXPEDI GAS-BIO-GALLARTA,1,S_018A_18501,2,
018A_18701,018A,018A_18701,BILBO/BILBAO,"",1,S_018A_18701,2,
018A_18502,018A,018A_18502,BILBO/BILBAO,EXPED GAS-BIO-SANTURTZI,1,S_018A_18502,2,
018A_18702,018A,018A_18702,BILBO/BILBAO,"",1,S_018A_18702,2,
018A_18503,018A,018A_18503,BILBO/BILBAO,EXPEDI GAS-BIO-CRUCES,1,S_018A_18503,2,
019A_19501,019A,019A_19501,BILBO/BILBAO,VITORIA-BILBAO-ALGORTA,1,S_019A_19501,2,
019A_19701,019A,019A_19701,BILBO/BILBAO,VITORIA-BILBAO-ALGORTA,1,S_019A_19701,2,
019A_19502,019A,019A_19502,BILBO/BILBAO,VITORIA-BILBAO-ERANDIO,1,S_019A_19502,2,
1819_1819501,1819,1819_1819501,BILBO/BILBAO,GASTEIZ-CRUCES-ASTRABUDUA,1,S_1819_1819501,2,
3711_3711001,3711,3711_3711001,VITORIA-GASTEIZ,"",0,S_3711_3711001,2,
3711_102,3711,3711_102,BILBO/BILBAO,"",1,S_3711_102,2,
3712_3712002,3712,3712_3712002,VITORIA-GASTEIZ,"",0,S_3712_3712002,2,
3712_11033,3712,3712_11033,VITORIA-GASTEIZ,"",0,S_3712_11033,2,
3712_3712215,3712,3712_3712215,VITORIA-GASTEIZ,"",0,S_3712_3712215,2,
3712_3712001,3712,3712_3712001,VITORIA-GASTEIZ,"",0,S_3712_3712001,2,
3712_3712701,3712,3712_3712701,BILBO/BILBAO,"",1,S_3712_3712701,2,
3712_11112,3712,3712_11112,BILBO/BILBAO,"",1,S_3712_11112,2,
3712_3712712,3712,3712_3712712,BILBO/BILBAO,"",1,S_3712_3712712,2,
3712_3925,3712,3712_3925,BILBO/BILBAO,"",1,S_3712_3925,2,
3712_3926,3712,3712_3926,BILBO/BILBAO,"",1,S_3712_3926,2,
3712_3712725,3712,3712_3712725,BILBO/BILBAO,"",1,S_3712_3712725,2,
3712_3712726,3712,3712_3712726,BILBO/BILBAO,"",1,S_3712_3712726,2,
3713_3713003,3713,3713_3713003,UNI.GASTEIZ,"",0,S_3713_3713003,2,
3713_3713502,3713,3713_3713502,BILBO/BILBAO,"",1,S_3713_3713502,2,
3714_3714002,3714,3714_3714002,UNI.GASTEIZ,"",0,S_3714_3714002,2,
3714_3714047,3714,3714_3714047,UNI.GASTEIZ,"",0,S_3714_3714047,2,
